Transaction_ID,Transaction_Date,Warehouse_Name,City,Product_Category,Product_Name,Supplier_Name,Batch_Number,Inventory_Type,Quantity_Received,Quantity_Dispatched,Damaged_Units,Missing_Units,Unit_Cost_GBP,Selling_Price_GBP,Storage_Section,Employee_Handling,Dispatch_Status,Delivery_Days,Temperature_Controlled,Stock_Audit_Status,Customer_Returns
TXN100019,13-04-2025,Newcastle Depot,Glasgow,Grocery,Coffee,Britannia Pharma,BATCH-4728,Inbound,213,199,6,12,1047.24,1781.37,A1,Noah Wilson,Slightly Delayed,4,No,Passed,10
TXN100020,19-06-2025,Manchester Storage,Leeds,Pharma,Paracetamol,Sainsbury Logistics,BATCH-5349,Inbound,841,305,22,20,613.74,967.05,A2,Amelia Clark,Delayed,9,No,Failed,23
TXN100021,29-12-2025,Liverpool Logistics,Glasgow,Pharma,Bandages,Northern Supply Chain,BATCH-2146,Outbound,670,543,7,12,1079.91,1331.59,C2,Harry Johnson,On Time,1,No,Passed,16
TXN100022,13-12-2025,Birmingham Distribution,Leeds,Pharma,Bandages,Northern Supply Chain,BATCH-9977,Inbound,384,226,18,17,157.11,219.06,C1,Jack Taylor,Delayed,7,Yes,Passed,13
TXN100023,04-12-2025,Glasgow Warehouse,Manchester,Home Appliances,Microwave,UK Retail Goods,BATCH-6085,Inbound,526,246,28,6,615.85,1019.61,B2,George Brown,On Time,3,Yes,Passed,1
TXN100024,11-09-2025,Birmingham Distribution,London,Grocery,Tea Bags,ASDA Distribution,BATCH-7965,Inbound,675,94,29,13,1063.93,1599.05,B1,Emily Harris,Delayed,7,Yes,Passed,17
TXN100025,10-11-2025,Bristol Supply Hub,Newcastle,Grocery,Rice Pack,Sainsbury Logistics,BATCH-8777,Outbound,517,88,29,16,1185.53,1798.23,C1,Noah Wilson,Delayed,8,No,Passed,24
TXN100026,21-06-2025,Manchester Storage,Birmingham,Home Appliances,Air Fryer,Sainsbury Logistics,BATCH-4788,Outbound,691,264,17,14,97.59,126.87,B1,Noah Wilson,Slightly Delayed,5,Yes,Passed,13
TXN100027,30-04-2026,Bristol Supply Hub,Newcastle,Fashion,Sneakers,Tesco Supply Ltd,BATCH-6763,Outbound,605,497,26,1,252.17,351.55,D1,Amelia Clark,Delayed,10,Yes,Passed,15
TXN100028,06-01-2026,Newcastle Depot,Birmingham,Grocery,Coffee,Tesco Supply Ltd,BATCH-7455,Inbound,496,268,1,12,406.67,640.67,A2,Amelia Clark,Delayed,7,Yes,Passed,14
TXN100029,23-05-2025,Bristol Supply Hub,Leeds,Grocery,Rice Pack,ASDA Distribution,BATCH-8705,Inbound,316,214,20,6,548.37,732.76,A1,Charlie Davies,Delayed,7,Yes,Passed,20
TXN100030,06-03-2025,Manchester Storage,Liverpool,Electronics,Laptop,Prime Wholesale UK,BATCH-5198,Outbound,822,51,15,6,1007.88,1547.03,B1,Harry Johnson,Slightly Delayed,4,Yes,Passed,9
TXN100031,31-10-2025,Liverpool Logistics,Manchester,Electronics,Keyboard,Britannia Pharma,BATCH-2983,Inbound,76,39,36,12,479.0,766.64,C2,Amelia Clark,On Time,2,No,Passed,2
TXN100032,29-12-2025,Birmingham Distribution,Leeds,Home Appliances,Microwave,Prime Wholesale UK,BATCH-8616,Outbound,62,46,31,3,523.06,707.98,C1,Charlie Davies,Delayed,8,Yes,Passed,2
TXN100033,12-03-2026,Newcastle Depot,Liverpool,Pharma,Bandages,London Trade Corp,BATCH-5232,Outbound,299,257,36,19,803.49,1073.04,C1,Jack Taylor,Delayed,8,Yes,Passed,16
TXN100034,18-08-2025,Manchester Storage,Leeds,Grocery,Rice Pack,UK Retail Goods,BATCH-7625,Inbound,297,228,31,17,911.01,1442.52,C1,Charlie Davies,Delayed,8,No,Passed,17
TXN100035,09-05-2025,Liverpool Logistics,Glasgow,Home Appliances,Microwave,ASDA Distribution,BATCH-9779,Inbound,485,401,35,10,425.41,603.07,B2,Noah Wilson,Slightly Delayed,5,No,Passed,8
TXN100036,06-03-2025,London Central Hub,Leeds,Home Appliances,Microwave,Sainsbury Logistics,BATCH-9042,Inbound,152,69,18,7,436.25,572.18,A1,Jack Taylor,Delayed,9,No,Passed,15
TXN100037,07-02-2025,London Central Hub,Birmingham,Fashion,Sneakers,Sainsbury Logistics,BATCH-5978,Inbound,238,33,16,15,141.33,161.93,B2,Harry Johnson,Delayed,8,No,Passed,19
TXN100038,08-08-2025,London Central Hub,Manchester,Home Appliances,Vacuum Cleaner,UK Retail Goods,BATCH-4457,Outbound,844,555,24,14,1090.66,1426.74,A2,George Brown,Delayed,10,Yes,Passed,5
TXN100039,29-04-2025,Leeds Fulfillment,Newcastle,Home Appliances,Mixer,ASDA Distribution,BATCH-4824,Outbound,210,20,26,14,828.8,1184.3,B2,Amelia Clark,On Time,1,Yes,Passed,17
TXN100040,19-01-2026,Leeds Fulfillment,Newcastle,Grocery,Cooking Oil,ASDA Distribution,BATCH-8679,Outbound,980,292,9,2,76.27,126.21,D1,Jack Taylor,Delayed,10,No,Passed,14
TXN100041,28-10-2025,Leeds Fulfillment,London,Electronics,Keyboard,Sainsbury Logistics,BATCH-8708,Outbound,90,75,20,19,304.19,354.06,C1,George Brown,Delayed,10,No,Failed,20
TXN100042,18-06-2025,Newcastle Depot,Leeds,Fashion,Jacket,Northern Supply Chain,BATCH-1601,Outbound,531,376,26,10,388.66,455.98,A2,Charlie Davies,On Time,3,No,Passed,10
TXN100043,05-07-2025,Newcastle Depot,Newcastle,Electronics,Monitor,Tesco Supply Ltd,BATCH-4335,Outbound,935,546,0,17,557.06,633.9,B1,Jack Taylor,Delayed,9,No,Passed,22
TXN100044,10-10-2025,Liverpool Logistics,Manchester,Fashion,Jacket,Prime Wholesale UK,BATCH-2924,Inbound,79,60,38,7,853.19,1124.1,D2,Jack Taylor,On Time,1,No,Passed,13
TXN100045,18-01-2026,Manchester Storage,Leeds,Fashion,T-Shirt,Northern Supply Chain,BATCH-6568,Outbound,299,253,35,4,463.39,808.76,A1,Jack Taylor,Delayed,9,No,Failed,18
TXN100046,13-07-2025,Glasgow Warehouse,Liverpool,Home Appliances,Air Fryer,UK Retail Goods,BATCH-7274,Inbound,936,172,28,17,583.79,778.02,D1,Oliver Smith,Delayed,9,No,Passed,23
TXN100047,19-06-2025,Newcastle Depot,Manchester,Fashion,T-Shirt,Prime Wholesale UK,BATCH-1251,Inbound,445,359,9,15,1157.97,1376.1,D1,George Brown,Delayed,10,Yes,Failed,15
TXN100048,04-05-2026,Newcastle Depot,London,Pharma,Cough Syrup,ASDA Distribution,BATCH-4846,Outbound,688,427,5,10,1023.55,1741.61,B2,Harry Johnson,Delayed,7,No,Passed,3
TXN100049,03-07-2025,Birmingham Distribution,Liverpool,Electronics,Monitor,Northern Supply Chain,BATCH-3950,Inbound,220,197,19,0,59.96,99.37,B1,Harry Johnson,Slightly Delayed,5,No,Passed,19
TXN100050,08-12-2025,Newcastle Depot,Leeds,Grocery,Tea Bags,Sainsbury Logistics,BATCH-2210,Outbound,984,617,9,7,556.07,710.54,C2,Jack Taylor,Slightly Delayed,5,No,Passed,22
TXN100051,20-10-2025,Leeds Fulfillment,Leeds,Pharma,Bandages,Tesco Supply Ltd,BATCH-7484,Outbound,915,329,12,12,1024.74,1203.72,A1,Oliver Smith,Delayed,7,No,Passed,9
TXN100052,18-11-2025,London Central Hub,Leeds,Grocery,Cereal,Prime Wholesale UK,BATCH-1546,Outbound,871,380,14,20,232.21,296.17,B1,Harry Johnson,On Time,3,No,Passed,10
TXN100053,12-05-2025,Newcastle Depot,Leeds,Fashion,Jeans,London Trade Corp,BATCH-2886,Outbound,255,53,34,11,639.37,1112.15,A2,George Brown,On Time,3,Yes,Failed,21
TXN100054,11-12-2025,Leeds Fulfillment,Bristol,Fashion,Handbag,London Trade Corp,BATCH-2775,Inbound,424,66,25,0,321.03,380.91,D2,Oliver Smith,Slightly Delayed,6,No,Passed,19
TXN100055,05-06-2025,Manchester Storage,Manchester,Grocery,Rice Pack,UK Retail Goods,BATCH-9807,Inbound,700,495,19,20,492.91,590.43,D1,Emily Harris,On Time,1,No,Failed,21
TXN100056,26-04-2026,London Central Hub,Glasgow,Home Appliances,Air Fryer,UK Retail Goods,BATCH-8264,Outbound,651,178,26,20,123.33,177.91,B2,Charlie Davies,Delayed,7,Yes,Failed,21
TXN100057,16-02-2025,London Central Hub,London,Pharma,Cough Syrup,London Trade Corp,BATCH-4990,Inbound,112,70,17,6,1162.01,2050.14,B2,Harry Johnson,Delayed,8,Yes,Passed,18
TXN100058,04-10-2025,Birmingham Distribution,Manchester,Grocery,Cooking Oil,Tesco Supply Ltd,BATCH-3159,Inbound,386,95,38,0,336.34,601.65,C2,Noah Wilson,On Time,3,No,Passed,0
TXN100059,03-02-2026,Manchester Storage,Newcastle,Grocery,Coffee,UK Retail Goods,BATCH-1710,Outbound,103,36,26,16,140.81,161.16,D2,Oliver Smith,Delayed,8,Yes,Passed,15
TXN100060,17-03-2025,Leeds Fulfillment,Glasgow,Fashion,T-Shirt,Northern Supply Chain,BATCH-9692,Outbound,752,130,31,14,92.82,107.35,D2,Amelia Clark,Delayed,10,Yes,Passed,25
TXN100061,24-07-2025,Manchester Storage,Glasgow,Electronics,Keyboard,Northern Supply Chain,BATCH-6120,Outbound,788,240,27,14,1066.27,1481.76,C2,George Brown,Delayed,8,No,Passed,2
TXN100062,05-05-2026,Glasgow Warehouse,Manchester,Electronics,Laptop,Northern Supply Chain,BATCH-6793,Outbound,145,75,6,11,975.06,1452.31,A1,Jack Taylor,Delayed,10,No,Passed,11
TXN100063,08-07-2025,Leeds Fulfillment,Liverpool,Electronics,Keyboard,Northern Supply Chain,BATCH-1430,Outbound,569,237,9,15,272.97,320.95,A1,George Brown,Delayed,9,No,Passed,22
TXN100064,15-01-2026,London Central Hub,Manchester,Pharma,Cough Syrup,UK Retail Goods,BATCH-7163,Outbound,409,23,11,4,681.75,941.19,D2,Charlie Davies,On Time,3,Yes,Passed,11
TXN100065,26-01-2025,Leeds Fulfillment,Newcastle,Pharma,Cough Syrup,Northern Supply Chain,BATCH-8957,Outbound,845,601,38,2,1060.59,1282.15,D1,Jack Taylor,Delayed,10,Yes,Passed,24
TXN100066,08-12-2025,Liverpool Logistics,Bristol,Home Appliances,Mixer,Tesco Supply Ltd,BATCH-1125,Inbound,403,240,7,9,815.47,1235.6,C1,Noah Wilson,Delayed,9,Yes,Passed,24
TXN100067,30-09-2025,Glasgow Warehouse,Manchester,Pharma,Cough Syrup,Northern Supply Chain,BATCH-1693,Outbound,385,81,0,15,897.68,1097.85,A1,Emily Harris,Delayed,7,Yes,Passed,10
TXN100068,29-03-2025,Newcastle Depot,Glasgow,Home Appliances,Air Fryer,ASDA Distribution,BATCH-8155,Inbound,637,434,40,13,350.97,485.57,B2,Amelia Clark,Slightly Delayed,6,No,Passed,16
TXN100069,21-11-2025,Liverpool Logistics,Glasgow,Electronics,Monitor,London Trade Corp,BATCH-3419,Inbound,941,337,21,7,403.02,490.75,A2,George Brown,Delayed,9,No,Passed,6
TXN100070,22-01-2026,Newcastle Depot,Glasgow,Grocery,Cereal,London Trade Corp,BATCH-3473,Outbound,206,187,4,5,1141.79,1757.86,A2,Emily Harris,Delayed,8,No,Passed,20
TXN100071,30-01-2025,Leeds Fulfillment,Manchester,Pharma,Cough Syrup,ASDA Distribution,BATCH-9307,Outbound,655,77,22,16,93.66,133.3,D2,Oliver Smith,On Time,1,No,Passed,25
TXN100072,20-02-2026,Glasgow Warehouse,Manchester,Home Appliances,Vacuum Cleaner,Sainsbury Logistics,BATCH-1641,Inbound,379,329,30,16,185.28,211.83,D2,Emily Harris,On Time,2,Yes,Failed,11
TXN100073,03-02-2025,Bristol Supply Hub,Leeds,Pharma,Cough Syrup,Britannia Pharma,BATCH-3463,Outbound,446,229,21,19,67.58,104.18,A2,George Brown,Slightly Delayed,6,No,Passed,9
TXN100074,10-12-2025,Manchester Storage,Bristol,Fashion,Jeans,London Trade Corp,BATCH-1298,Outbound,659,106,19,17,455.13,752.86,C1,George Brown,On Time,3,Yes,Passed,10
TXN100075,30-01-2026,London Central Hub,Glasgow,Fashion,Jeans,Sainsbury Logistics,BATCH-7172,Inbound,281,90,9,2,358.47,592.08,B1,George Brown,Delayed,9,Yes,Passed,23
TXN100076,30-04-2025,Leeds Fulfillment,Newcastle,Fashion,Jacket,UK Retail Goods,BATCH-7026,Outbound,470,206,15,14,734.66,1195.05,D2,Jack Taylor,Delayed,8,No,Passed,16
TXN100077,24-03-2026,Manchester Storage,Manchester,Home Appliances,Air Fryer,Britannia Pharma,BATCH-2374,Inbound,215,71,38,4,1048.24,1191.35,C1,Emily Harris,Delayed,8,Yes,Passed,13
TXN100078,01-05-2025,Manchester Storage,Glasgow,Electronics,Tablet,UK Retail Goods,BATCH-1461,Outbound,886,481,22,0,500.8,689.86,A2,Charlie Davies,Slightly Delayed,6,Yes,Passed,4
TXN100079,03-01-2025,London Central Hub,Leeds,Electronics,Smartphone,UK Retail Goods,BATCH-3449,Outbound,989,869,30,4,911.82,1302.42,A2,Jack Taylor,Delayed,10,Yes,Failed,9
TXN100080,02-11-2025,Liverpool Logistics,Birmingham,Electronics,Laptop,Britannia Pharma,BATCH-8032,Inbound,294,234,40,19,551.25,649.15,C2,Noah Wilson,Delayed,8,No,Passed,5
TXN100081,11-01-2025,Newcastle Depot,London,Electronics,Keyboard,Northern Supply Chain,BATCH-7116,Outbound,419,54,33,17,611.26,1095.28,A1,Charlie Davies,Delayed,9,Yes,Passed,11
TXN100082,02-03-2026,Newcastle Depot,Newcastle,Grocery,Rice Pack,Sainsbury Logistics,BATCH-3209,Inbound,840,615,21,4,57.98,85.94,D2,Oliver Smith,On Time,3,No,Passed,6
TXN100083,31-08-2025,Liverpool Logistics,Leeds,Electronics,Tablet,London Trade Corp,BATCH-1783,Outbound,957,62,20,9,620.88,1112.86,C1,Harry Johnson,Delayed,9,No,Passed,13
TXN100084,17-05-2025,Bristol Supply Hub,Manchester,Fashion,T-Shirt,Northern Supply Chain,BATCH-3956,Outbound,966,415,21,5,597.96,866.01,C2,Harry Johnson,Delayed,9,Yes,Passed,10
TXN100085,08-01-2026,Glasgow Warehouse,Bristol,Pharma,Cough Syrup,Britannia Pharma,BATCH-1939,Inbound,506,328,27,5,829.27,1116.27,D1,Charlie Davies,On Time,1,Yes,Failed,0
TXN100086,05-07-2025,London Central Hub,Birmingham,Grocery,Cereal,Prime Wholesale UK,BATCH-7077,Outbound,744,468,2,4,85.34,140.38,D2,Harry Johnson,Slightly Delayed,6,Yes,Passed,16
TXN100087,13-09-2025,Manchester Storage,Leeds,Pharma,Bandages,Britannia Pharma,BATCH-8311,Inbound,371,352,17,7,1152.82,1289.01,C1,Emily Harris,On Time,3,Yes,Passed,3
TXN100088,08-12-2025,Manchester Storage,Leeds,Grocery,Rice Pack,Britannia Pharma,BATCH-3580,Inbound,512,108,28,2,973.56,1730.3,C2,Noah Wilson,Slightly Delayed,6,Yes,Passed,6
TXN100089,08-03-2025,Manchester Storage,Manchester,Grocery,Cooking Oil,Britannia Pharma,BATCH-7523,Outbound,859,525,1,11,667.06,906.03,D1,Amelia Clark,Delayed,9,Yes,Passed,4
TXN100090,24-11-2025,Birmingham Distribution,Bristol,Pharma,Paracetamol,Tesco Supply Ltd,BATCH-3034,Inbound,510,258,33,11,158.36,266.1,C1,George Brown,Delayed,9,Yes,Passed,10
TXN100091,06-03-2025,Manchester Storage,Birmingham,Grocery,Coffee,Sainsbury Logistics,BATCH-3804,Outbound,581,310,5,8,239.58,423.92,A1,Oliver Smith,Slightly Delayed,5,Yes,Passed,1
TXN100092,29-05-2025,Leeds Fulfillment,Newcastle,Home Appliances,Microwave,UK Retail Goods,BATCH-7653,Outbound,716,235,36,13,743.64,833.77,D2,Harry Johnson,Delayed,9,Yes,Passed,5
TXN100093,11-01-2026,Glasgow Warehouse,Bristol,Fashion,T-Shirt,Sainsbury Logistics,BATCH-7070,Inbound,545,495,13,10,729.96,962.68,C2,Noah Wilson,Slightly Delayed,6,No,Failed,3
TXN100094,03-08-2025,Birmingham Distribution,Glasgow,Pharma,Bandages,London Trade Corp,BATCH-4110,Inbound,303,92,6,1,351.8,481.58,D2,Emily Harris,Delayed,10,No,Passed,9
TXN100095,30-06-2025,Leeds Fulfillment,Newcastle,Fashion,Jacket,Prime Wholesale UK,BATCH-5681,Inbound,142,140,25,16,551.39,699.44,A2,Amelia Clark,Delayed,10,Yes,Passed,8
TXN100096,28-05-2025,Newcastle Depot,Leeds,Pharma,Bandages,ASDA Distribution,BATCH-3108,Inbound,424,43,25,1,686.49,848.68,D1,Charlie Davies,Delayed,9,No,Passed,17
TXN100097,01-01-2026,Newcastle Depot,Newcastle,Pharma,Vitamin Tablets,Sainsbury Logistics,BATCH-9446,Inbound,253,174,32,12,602.59,681.96,C2,Charlie Davies,On Time,3,Yes,Passed,12
TXN100098,01-09-2025,Glasgow Warehouse,Glasgow,Home Appliances,Microwave,ASDA Distribution,BATCH-7824,Outbound,657,364,32,16,641.15,1023.35,A1,Emily Harris,Slightly Delayed,5,No,Passed,20
TXN100099,01-02-2026,Birmingham Distribution,Liverpool,Home Appliances,Vacuum Cleaner,Tesco Supply Ltd,BATCH-2800,Inbound,788,72,37,15,208.76,321.56,A1,Emily Harris,Delayed,10,No,Passed,13
TXN100100,28-12-2025,Liverpool Logistics,Glasgow,Grocery,Tea Bags,Prime Wholesale UK,BATCH-9609,Outbound,757,228,26,16,931.09,1624.16,C2,George Brown,On Time,1,No,Passed,17
TXN100101,13-10-2025,Leeds Fulfillment,Leeds,Pharma,Cough Syrup,UK Retail Goods,BATCH-9011,Outbound,742,717,16,19,583.6,1033.05,D2,Charlie Davies,Slightly Delayed,5,No,Passed,9
TXN100102,29-05-2025,Manchester Storage,Glasgow,Electronics,Keyboard,Prime Wholesale UK,BATCH-5201,Outbound,742,576,24,12,982.96,1738.1,B2,Noah Wilson,On Time,3,No,Passed,17
TXN100103,27-01-2025,Glasgow Warehouse,Newcastle,Pharma,Vitamin Tablets,ASDA Distribution,BATCH-3252,Inbound,161,81,15,1,805.45,1185.4,B1,Amelia Clark,Slightly Delayed,4,No,Passed,15
TXN100104,13-04-2026,Bristol Supply Hub,Birmingham,Grocery,Coffee,Tesco Supply Ltd,BATCH-7504,Outbound,378,166,3,2,784.5,990.47,B1,Jack Taylor,On Time,1,Yes,Failed,0
TXN100105,01-04-2026,Newcastle Depot,Leeds,Pharma,Paracetamol,UK Retail Goods,BATCH-2845,Outbound,1000,363,18,14,1186.97,1757.08,B1,Emily Harris,Delayed,8,No,Failed,22
TXN100106,15-03-2026,Bristol Supply Hub,Bristol,Grocery,Rice Pack,London Trade Corp,BATCH-2421,Outbound,804,365,18,18,810.91,1001.65,A2,George Brown,Delayed,10,Yes,Passed,15
TXN100107,04-06-2025,London Central Hub,Leeds,Pharma,Vitamin Tablets,London Trade Corp,BATCH-4871,Inbound,56,36,24,7,538.85,693.44,A2,Emily Harris,Slightly Delayed,6,No,Passed,5
TXN100108,11-11-2025,Birmingham Distribution,Newcastle,Fashion,Handbag,Sainsbury Logistics,BATCH-8454,Outbound,995,936,19,3,768.26,1350.94,D1,Emily Harris,Slightly Delayed,6,Yes,Passed,24
TXN100109,15-04-2026,London Central Hub,Liverpool,Grocery,Cereal,Sainsbury Logistics,BATCH-3695,Outbound,944,826,5,16,538.86,858.21,D2,Harry Johnson,On Time,2,Yes,Passed,22
TXN100110,01-08-2025,London Central Hub,Newcastle,Home Appliances,Air Fryer,Britannia Pharma,BATCH-1356,Outbound,143,135,32,14,971.39,1376.85,C1,Oliver Smith,Delayed,9,Yes,Passed,18
TXN100111,24-04-2026,Leeds Fulfillment,Bristol,Electronics,Laptop,Sainsbury Logistics,BATCH-3218,Outbound,483,196,4,17,1192.98,2092.74,C2,Amelia Clark,On Time,2,No,Passed,12
TXN100112,03-10-2025,Birmingham Distribution,Liverpool,Fashion,Jacket,Tesco Supply Ltd,BATCH-1372,Outbound,749,697,34,4,785.97,1055.9,D2,Amelia Clark,On Time,3,No,Passed,7
TXN100113,17-01-2025,Bristol Supply Hub,London,Grocery,Tea Bags,UK Retail Goods,BATCH-4376,Inbound,404,99,17,6,1125.21,1808.79,A2,Oliver Smith,On Time,2,No,Passed,19
TXN100114,13-03-2025,Leeds Fulfillment,Liverpool,Electronics,Tablet,London Trade Corp,BATCH-6253,Inbound,808,65,25,14,285.04,356.9,C1,George Brown,On Time,1,Yes,Passed,13
TXN100115,25-01-2025,Bristol Supply Hub,Glasgow,Pharma,Cough Syrup,Northern Supply Chain,BATCH-7688,Inbound,112,91,37,5,753.06,1053.56,C1,Amelia Clark,Delayed,8,Yes,Failed,24
TXN100116,31-07-2025,Birmingham Distribution,Bristol,Home Appliances,Air Fryer,UK Retail Goods,BATCH-5177,Inbound,296,135,19,4,967.9,1684.45,C2,Harry Johnson,Delayed,9,No,Failed,11
TXN100117,24-03-2026,Liverpool Logistics,Newcastle,Electronics,Keyboard,UK Retail Goods,BATCH-6455,Outbound,791,215,3,8,455.72,694.28,A1,Noah Wilson,On Time,1,Yes,Passed,23
TXN100118,02-02-2026,Newcastle Depot,Glasgow,Electronics,Monitor,Britannia Pharma,BATCH-5285,Outbound,986,268,38,6,478.98,607.12,D2,Emily Harris,Slightly Delayed,6,Yes,Passed,25
TXN100119,15-01-2026,Leeds Fulfillment,Bristol,Fashion,Sneakers,Britannia Pharma,BATCH-3497,Inbound,986,228,23,10,499.65,746.36,C2,Noah Wilson,Slightly Delayed,4,No,Passed,18
TXN100120,24-08-2025,Glasgow Warehouse,Birmingham,Grocery,Tea Bags,Sainsbury Logistics,BATCH-9954,Outbound,613,365,16,15,1159.98,1797.02,B1,Oliver Smith,Delayed,8,Yes,Passed,2
TXN100121,16-09-2025,London Central Hub,Newcastle,Electronics,Laptop,Prime Wholesale UK,BATCH-1257,Inbound,472,90,40,7,86.22,103.96,D1,Oliver Smith,Slightly Delayed,4,Yes,Passed,16
TXN100122,04-05-2025,Leeds Fulfillment,Glasgow,Pharma,Cough Syrup,Britannia Pharma,BATCH-7502,Inbound,67,52,27,5,132.88,155.13,C2,Amelia Clark,On Time,3,No,Passed,18
TXN100123,29-01-2025,Birmingham Distribution,Manchester,Grocery,Cooking Oil,Prime Wholesale UK,BATCH-8109,Outbound,357,61,2,2,489.31,667.43,A2,Oliver Smith,Delayed,8,Yes,Passed,6
TXN100124,02-04-2025,Glasgow Warehouse,London,Home Appliances,Air Fryer,UK Retail Goods,BATCH-3362,Outbound,327,43,4,8,1079.68,1613.54,A2,Jack Taylor,On Time,1,Yes,Failed,18
TXN100125,09-02-2026,Manchester Storage,Glasgow,Grocery,Cereal,Tesco Supply Ltd,BATCH-2600,Outbound,904,889,24,17,401.42,653.88,B2,Harry Johnson,On Time,3,No,Failed,19
TXN100126,27-04-2025,Bristol Supply Hub,Bristol,Home Appliances,Air Fryer,Sainsbury Logistics,BATCH-7227,Inbound,842,354,1,20,331.63,595.21,C1,Noah Wilson,Delayed,8,Yes,Passed,2
TXN100127,16-02-2025,Leeds Fulfillment,Newcastle,Pharma,Vitamin Tablets,London Trade Corp,BATCH-5419,Inbound,439,384,40,4,888.89,1174.82,B1,Harry Johnson,On Time,2,Yes,Passed,13
